Datum;JD;l_SL;b_SL;d_SL;l_Jup;b_Jup;d_Jup;x;y;z
1994-Feb-20;2449404;212.8748;-0.6503;5.385743;214.6201;1.1905;5.439331;-4.5230;-2.9232;-0.0611
1994-Feb-21;2449405;212.9576;-0.6453;5.385599;214.6960;1.1898;5.439212;-4.5186;-2.9297;-0.0607
1994-Feb-22;2449406;213.0405;-0.6402;5.385456;214.7720;1.1891;5.439093;-4.5143;-2.9361;-0.0602
1994-Feb-23;2449407;213.1234;-0.6351;5.385316;214.8479;1.1884;5.438973;-4.5099;-2.9426;-0.0597
1994-Feb-24;2449408;213.2064;-0.6299;5.385178;214.9239;1.1877;5.438854;-4.5055;-2.9491;-0.0592
1994-Feb-25;2449409;213.2894;-0.6248;5.385041;214.9999;1.1869;5.438733;-4.5011;-2.9555;-0.0587
1994-Feb-26;2449410;213.3724;-0.6195;5.384907;215.0758;1.1862;5.438612;-4.4967;-2.9619;-0.0582
1994-Feb-27;2449411;213.4555;-0.6143;5.384775;215.1518;1.1855;5.438490;-4.4923;-2.9684;-0.0577
1994-Feb-28;2449412;213.5386;-0.6090;5.384645;215.2278;1.1848;5.438367;-4.4879;-2.9748;-0.0572
1994-Mar-01;2449413;213.6217;-0.6036;5.384517;215.3038;1.1841;5.438245;-4.4835;-2.9813;-0.0567
1994-Mar-02;2449414;213.7049;-0.5982;5.384392;215.3797;1.1833;5.438122;-4.4791;-2.9877;-0.0562
1994-Mar-03;2449415;213.7881;-0.5928;5.384269;215.4557;1.1826;5.437999;-4.4746;-2.9942;-0.0557
1994-Mar-04;2449416;213.8714;-0.5874;5.384148;215.5317;1.1819;5.437876;-4.4702;-3.0006;-0.0552
1994-Mar-05;2449417;213.9547;-0.5819;5.384029;215.6077;1.1811;5.437752;-4.4657;-3.0070;-0.0547
1994-Mar-06;2449418;214.0381;-0.5763;5.383912;215.6837;1.1804;5.437626;-4.4612;-3.0135;-0.0542
1994-Mar-07;2449419;214.1215;-0.5707;5.383798;215.7597;1.1797;5.437501;-4.4568;-3.0199;-0.0536
1994-Mar-08;2449420;214.2049;-0.5651;5.383686;215.8357;1.1789;5.437376;-4.4523;-3.0263;-0.0531
1994-Mar-09;2449421;214.2884;-0.5594;5.383577;215.9117;1.1782;5.437250;-4.4478;-3.0327;-0.0526
1994-Mar-10;2449422;214.3719;-0.5537;5.383470;215.9877;1.1774;5.437125;-4.4433;-3.0392;-0.0520
1994-Mar-11;2449423;214.4554;-0.5480;5.383365;216.0637;1.1767;5.436998;-4.4387;-3.0456;-0.0515
1994-Mar-12;2449424;214.5390;-0.5422;5.383263;216.1398;1.1759;5.436871;-4.4342;-3.0520;-0.0509
1994-Mar-13;2449425;214.6227;-0.5364;5.383163;216.2158;1.1752;5.436742;-4.4297;-3.0584;-0.0504
1994-Mar-14;2449426;214.7063;-0.5305;5.383066;216.2918;1.1744;5.436614;-4.4251;-3.0648;-0.0498
1994-Mar-15;2449427;214.7901;-0.5246;5.382971;216.3678;1.1737;5.436484;-4.4206;-3.0712;-0.0493
1994-Mar-16;2449428;214.8738;-0.5186;5.382879;216.4439;1.1729;5.436355;-4.4160;-3.0776;-0.0487
1994-Mar-17;2449429;214.9576;-0.5126;5.382789;216.5199;1.1722;5.436226;-4.4114;-3.0841;-0.0482
1994-Mar-18;2449430;215.0415;-0.5065;5.382702;216.5959;1.1714;5.436096;-4.4068;-3.0905;-0.0476
1994-Mar-19;2449431;215.1253;-0.5005;5.382617;216.6720;1.1706;5.435965;-4.4023;-3.0969;-0.0470
1994-Mar-20;2449432;215.2093;-0.4943;5.382536;216.7480;1.1699;5.435834;-4.3976;-3.1033;-0.0464
1994-Mar-21;2449433;215.2933;-0.4881;5.382456;216.8241;1.1691;5.435702;-4.3930;-3.1097;-0.0459
1994-Mar-22;2449434;215.3773;-0.4819;5.382380;216.9001;1.1683;5.435570;-4.3884;-3.1161;-0.0453
1994-Mar-23;2449435;215.4613;-0.4756;5.382306;216.9762;1.1676;5.435438;-4.3838;-3.1225;-0.0447
1994-Mar-24;2449436;215.5454;-0.4693;5.382236;217.0522;1.1668;5.435306;-4.3791;-3.1288;-0.0441
1994-Mar-25;2449437;215.6296;-0.4629;5.382168;217.1283;1.1660;5.435173;-4.3745;-3.1352;-0.0435
1994-Mar-26;2449438;215.7138;-0.4565;5.382102;217.2044;1.1652;5.435040;-4.3698;-3.1416;-0.0429
1994-Mar-27;2449439;215.7980;-0.4500;5.382040;217.2805;1.1645;5.434906;-4.3652;-3.1480;-0.0423
1994-Mar-28;2449440;215.8823;-0.4435;5.381981;217.3565;1.1637;5.434771;-4.3605;-3.1544;-0.0417
1994-Mar-29;2449441;215.9666;-0.4369;5.381924;217.4326;1.1629;5.434635;-4.3558;-3.1608;-0.0410
1994-Mar-30;2449442;216.0510;-0.4303;5.381871;217.5087;1.1621;5.434500;-4.3511;-3.1672;-0.0404
1994-Mar-31;2449443;216.1354;-0.4237;5.381820;217.5848;1.1613;5.434364;-4.3464;-3.1735;-0.0398
1994-Apr-01;2449444;216.2199;-0.4169;5.381773;217.6609;1.1605;5.434228;-4.3417;-3.1799;-0.0392
1994-Apr-02;2449445;216.3044;-0.4102;5.381728;217.7370;1.1597;5.434091;-4.3369;-3.1863;-0.0385
1994-Apr-03;2449446;216.3890;-0.4034;5.381687;217.8131;1.1589;5.433953;-4.3322;-3.1927;-0.0379
1994-Apr-04;2449447;216.4736;-0.3965;5.381649;217.8892;1.1581;5.433815;-4.3274;-3.1991;-0.0372
1994-Apr-05;2449448;216.5582;-0.3896;5.381614;217.9653;1.1573;5.433676;-4.3227;-3.2054;-0.0366
1994-Apr-06;2449449;216.6429;-0.3826;5.381582;218.0414;1.1565;5.433538;-4.3179;-3.2118;-0.0359
1994-Apr-07;2449450;216.7277;-0.3756;5.381553;218.1175;1.1557;5.433399;-4.3132;-3.2182;-0.0353
1994-Apr-08;2449451;216.8125;-0.3685;5.381528;218.1936;1.1549;5.433260;-4.3084;-3.2245;-0.0346
1994-Apr-09;2449452;216.8973;-0.3613;5.381506;218.2697;1.1541;5.433121;-4.3036;-3.2309;-0.0339
1994-Apr-10;2449453;216.9822;-0.3542;5.381488;218.3458;1.1533;5.432980;-4.2988;-3.2373;-0.0333
1994-Apr-11;2449454;217.0672;-0.3469;5.381472;218.4219;1.1525;5.432839;-4.2940;-3.2436;-0.0326
1994-Apr-12;2449455;217.1522;-0.3396;5.381461;218.4981;1.1517;5.432698;-4.2891;-3.2500;-0.0319
1994-Apr-13;2449456;217.2372;-0.3322;5.381453;218.5742;1.1509;5.432556;-4.2843;-3.2563;-0.0312
1994-Apr-14;2449457;217.3223;-0.3248;5.381448;218.6503;1.1501;5.432414;-4.2795;-3.2627;-0.0305
1994-Apr-15;2449458;217.4075;-0.3173;5.381447;218.7265;1.1492;5.432272;-4.2746;-3.2691;-0.0298
1994-Apr-16;2449459;217.4927;-0.3098;5.381450;218.8026;1.1484;5.432129;-4.2697;-3.2754;-0.0291
1994-Apr-17;2449460;217.5779;-0.3022;5.381456;218.8788;1.1476;5.431985;-4.2649;-3.2818;-0.0284
1994-Apr-18;2449461;217.6633;-0.2946;5.381466;218.9549;1.1468;5.431841;-4.2600;-3.2881;-0.0277
1994-Apr-19;2449462;217.7486;-0.2868;5.381480;219.0311;1.1459;5.431695;-4.2551;-3.2945;-0.0269
1994-Apr-20;2449463;217.8340;-0.2791;5.381497;219.1073;1.1451;5.431550;-4.2502;-3.3008;-0.0262
1994-Apr-21;2449464;217.9195;-0.2712;5.381519;219.1834;1.1443;5.431404;-4.2453;-3.3072;-0.0255
1994-Apr-22;2449465;218.0050;-0.2633;5.381544;219.2596;1.1434;5.431259;-4.2404;-3.3135;-0.0247
1994-Apr-23;2449466;218.0906;-0.2554;5.381573;219.3358;1.1426;5.431114;-4.2355;-3.3199;-0.0240
