Datum;Laenge;Breite;Abstand;Laenge rad;Breite rad;x;y;r
2018-Dec-30;314.0684;-2.3337;0.887004691;5.481527656;-0.040730749;0.616414843;-0.636793158;0.886269025
2018-Dec-31;314.7299;-2.3615;0.89188701;5.493073009;-0.04121595;0.627146283;-0.633087237;0.891129569
2019-Jan-01;315.3843;-2.3887;0.89651494;5.504494444;-0.04169068;0.637614948;-0.62911846;0.895735931
2019-Jan-02;316.0323;-2.4152;0.900890499;5.515804178;-0.042153192;0.647823102;-0.624890104;0.900090225
2019-Jan-03;316.6742;-2.4413;0.905015574;5.527007446;-0.042608723;0.657768583;-0.620409208;0.904194169
2019-Jan-04;317.3104;-2.4668;0.908891927;5.538111231;-0.043053782;0.667450731;-0.615681532;0.908049683
2019-Jan-05;317.9415;-2.4918;0.912521199;5.549126004;-0.043490114;0.676871006;-0.610709932;0.911658368
2019-Jan-06;318.5677;-2.5163;0.915904912;5.560055256;-0.04391772;0.686026722;-0.605501592;0.91502177
2019-Jan-07;319.1896;-2.5403;0.919044472;5.570909458;-0.044336599;0.694919533;-0.600058605;0.918141322
2019-Jan-08;319.8073;-2.5639;0.921941177;5.581690357;-0.044748497;0.703545834;-0.59438869;0.921018271
2019-Jan-09;320.4214;-2.587;0.924596214;5.592408424;-0.045151668;0.711907413;-0.588493297;0.923653899
2019-Jan-10;321.0322;-2.6097;0.927010663;5.603068895;-0.045547857;0.720002832;-0.582377121;0.926049237
2019-Jan-11;321.64;-2.632;0.929185501;5.613677006;-0.045937066;0.72783074;-0.57604467;0.928205283
2019-Jan-12;322.2451;-2.6539;0.931121605;5.624237993;-0.046319293;0.735389804;-0.569500226;0.930122933
2019-Jan-13;322.8478;-2.6755;0.932819749;5.634757093;-0.046696284;0.742678634;-0.562747816;0.931802907
2019-Jan-14;323.4486;-2.6967;0.934280611;5.645243031;-0.047066294;0.749697884;-0.555788749;0.933245976
2019-Jan-15;324.0476;-2.7175;0.935504771;5.655697553;-0.047429322;0.756444197;-0.548629293;0.93445274
2019-Jan-16;324.6453;-2.7379;0.936492714;5.666129386;-0.04778537;0.762918047;-0.54127032;0.935423704
2019-Jan-17;325.2418;-2.7581;0.93724483;5.676540275;-0.048137926;0.769115898;-0.533717746;0.936159119
2019-Jan-18;325.8376;-2.7779;0.937761414;5.686938947;-0.048483501;0.775038173;-0.52597221;0.936659455
2019-Jan-19;326.4329;-2.7974;0.938042669;5.697328892;-0.04882384;0.780682205;-0.518038104;0.936924854
2019-Jan-20;327.028;-2.8166;0.938088706;5.707715346;-0.049158944;0.786046239;-0.509918434;0.936955441
2019-Jan-21;327.6232;-2.8355;0.937899541;5.718103546;-0.049488811;0.791128417;-0.50161612;0.93675125
2019-Jan-22;328.2189;-2.8541;0.937475098;5.728500472;-0.049813442;0.795927628;-0.493132629;0.936312223
2019-Jan-23;328.8152;-2.8724;0.93681521;5.738907871;-0.050132837;0.800440037;-0.484473531;0.935638207
2019-Jan-24;329.4125;-2.8904;0.935919615;5.749332722;-0.050446997;0.804664285;-0.475640212;0.934728957
2019-Jan-25;330.0112;-2.9081;0.934787958;5.759782008;-0.05075592;0.808598807;-0.466634013;0.933584133
2019-Jan-26;330.6115;-2.9256;0.933419789;5.77025922;-0.051061353;0.812240153;-0.457459041;0.932203219
2019-Jan-27;331.2137;-2.9428;0.931814564;5.780769593;-0.051361549;0.815585697;-0.44811811;0.930585767
2019-Jan-28;331.8182;-2.9598;0.929971642;5.791320108;-0.051658255;0.818633263;-0.43861256;0.928731068
